job_title_clean,industry_clean,position_ID
Associate,Architecture,3870
Associate Vice President Students,Education (Higher Education),3871
Principal Industrial Engineer,Engineering Or Manufacturing,3872
Creative Lead,Insurance,3873
Senior Associate Registrar,Education (Higher Education),3874
Group Art Supervisor,"Marketing, Advertising And Pr",3875
Senior Project Coordinator ,Engineering Or Manufacturing,3876
Staff Accountant,Transport Or Logistics,3877
Market Research Project Manager,"Marketing, Advertising And Pr",3878
Compliance Mgr And Facility Security Officer,Government Contracting,3879
It Services Coordinator,Retail,3880
Customer Service Representative,Bioscience Company,3881
Vp Business And Finance,Education (Higher Education),3882
Public Health Nurse,Health Care,3883
HR & Talent Analyst,Fintech,3884
Faculty Pa,Education (Higher Education),3885
Senior ADMS Engineer - consultant,Utilities And Telecommunications,3886
Senior Data Planner,Business Or Consulting,3887
Book Designer,Art And Design,3888
Audit Manager,"Accounting, Banking And Finance",3889
Senior Scientist,Environmental Consulting,3890
Senior Data Analyst,Computing Or Tech,3891
Government Affairs Assistant,Nonprofits,3892
Pathologist,Health Care,3893
Director Of Purchasing And Contracts,Government And Public Administration,3894
Manager Claims,Insurance,3895
Pre-K Teacher,Education (Primary/Secondary),3896
Change Management Consultant,Business Or Consulting,3897
Associate Scientist,Physical Sciences,3898
Architect,Art And Design,3899
Executive Assistant,Insurance,3900
translator/editor,Translation,3901
Salesforce Administrator,Sales,3902
Graduate Research Assitant,Science/Research Non-Academic,3903
Associate Research Specialist,Education (Higher Education),3904
Financial Analyst,Government And Public Administration,3905
Administrative Systems Analyst,Education (Higher Education),3906
Associate Magazine Editor,Media And Digital,3907
ILS/ILL Consultant,municipal (public) libraries,3908
Senior Technical Writer,Health Care,3909
Business Intelligence Manager,Computing Or Tech,3910
Airworthiness Engineer,Engineering Or Manufacturing,3911
Technical Operations Manager,Health Care,3912
Project Specialist,Insurance,3913
"Senior Manager, Fundraising",Nonprofits,3914
Audit And Articulation Officer,Education (Higher Education),3915
Corporate Strategy Senior Manager,Retail,3916
Validation Engineer,Engineering Or Manufacturing,3917
Mental Health Clinician,Social Work,3918
Principal Curriculum Developer,Computing Or Tech,3919
Rental Sales Associate,"Leisure, Sport And Tourism",3920
Marketing Coordinator,Media And Digital,3921
Accountant,Agriculture Or Forestry,3922
Senior Investment Operations Analyst,"Accounting, Banking And Finance",3923
Principal It Consultant,Transport Or Logistics,3924
Editor,"Marketing, Advertising And Pr",3925
Sr. Analyst,Clinical Research,3926
"Associate Director, Transformation",Media And Digital,3927
Senior Communications Officer,Nonprofits,3928
Senior Manager,Entertainment,3929
Charge Nurse,Health Care,3930
Systems Analyst,Insurance,3931
Senior ,"Accounting, Banking And Finance",3932
Qa and tech support ,Engineering Or Manufacturing,3933
Senior Solution Analyst,Retail,3934
Partner Success Lead,Sales,3935
Principal E,Business Or Consulting,3936
Researcher,Nonprofits,3937
Senior Trade Policy Analyst,Government And Public Administration,3938
Administrative And Data Coordinator,Nonprofits,3939
It Analyst,"Accounting, Banking And Finance",3940
Assistant Registrar,Museum (University Affiliated),3941
Program Associate,Education (Primary/Secondary),3942
Marketing And Communications Manager,Nonprofits,3943
Brand Director,"Marketing, Advertising And Pr",3944
STEM Specialist,Education (Higher Education),3945
Clinical Technologist Team Leader,Health Care,3946
Park Operations Supervisor,Government And Public Administration,3947
Records Information Analyst,Government And Public Administration,3948
Intellectual Property Manager,Education (Higher Education),3949
Cash Control Area Manager,"Leisure, Sport And Tourism",3950
"Senior Director, Strategy","Leisure, Sport And Tourism",3951
Project Manager,Media And Digital,3952
System Reliability Engineer,Computing Or Tech,3953
Chief Financial Officer,Property Or Construction,3954
Principle Research Scientist,Health Care,3955
Senior Counsel,Government And Public Administration,3956
General Counsel,Law,3957
"Pharmacology Specialist, Scientist",Biomedical Research,3958
Operations Manager,Health Care,3959
Adjunct Faculty Librarian,Education (Higher Education),3960
elementary school music teacher,Education (Primary/Secondary),3961
Sales Administrator,Retail,3962
"Manager, Strategic Supplier Syndication",Media And Digital,3963
Cultural Resources Specialist And Archeologist,Government And Public Administration,3964
Senior Engineer,Utilities And Telecommunications,3965
Software Developer - Level,Insurance,3966
Library Troubleshooter,Libraries (Medical),3967
Accountant,Industrial Cleaning And Non Hazardous Transport,3968
Fishery Analyst,Government And Public Administration,3969
Accounts Payable And Accounts Receivable Manager,Agriculture Or Forestry,3970
Paralegal,Government And Public Administration,3971
HRBP,Media And Digital,3972
High School Librarian,Education (Primary/Secondary),3973
Senior Product Manager,Government And Public Administration,3974
senior education coordinator,Education (Higher Education),3975
Quality Assurance Manager,Quality Assurance Laboratory,3976
"Vice President, Learning And Development",Business Or Consulting,3977
Director of Senior Services,Government And Public Administration,3978
QAQC Coordinator,Environmental Consulting,3979
Principal Ocuupational Therapist,Health Care,3980
CRM Director,Nonprofits,3981
TV Writer,Entertainment,3982
Data And Insights Analyst,Education (Higher Education),3983
Senior Software Developer,"Accounting, Banking And Finance",3984
Associate Project Manager/Scrum Master,Computing Or Tech,3985
Managing Editor,Education (Higher Education),3986
Adult Services,Library,3987
Groundskeeper,Tourism,3988
Compliance Officer,Health Care,3989
Business Development Manager,Health Care,3990
Learning & Development Senior Manager,Business Or Consulting,3991
Campaign Manager,"Marketing, Advertising And Pr",3992
CSR,Government And Public Administration,3993
Vice President,Engineering Or Manufacturing,3994
Project Estimator / Mining Engineer,Engineering - Mining,3995
Graphic Designer,Engineering Or Manufacturing,3996
Elementary Principal,Education (Primary/Secondary),3997
Senior Compliance Manager,Computing Or Tech,3998
Customer Service Rep,Customer Service,3999
Provider Data Analyst,Insurance,4000
Associate Copy Chief And Manager Of Digital Workflow,Media And Digital,4001
Senior software developer in test,Computing Or Tech,4002
Supply Logistics Technician,Utilities And Telecommunications,4003
sponsored projects officer,Education (Higher Education),4004
Product Manager,Education (Higher Education),4005
Principal Analyst,"Accounting, Banking And Finance",4006
CEO,Nonprofits,4007
Mental Health Counselor,Social Work,4008
Network Engingeer,Computing Or Tech,4009
US HR Manager,Engineering Or Manufacturing,4010
Client Service Agent,Insurance,4011
Management Analyst,Government And Public Administration,4012
Environmental Investigator,Government And Public Administration,4013
Senior Associate,Recruitment Or Hr,4014
Revenue Cycle Director,Health Care,4015
Data Scientist,"Leisure, Sport And Tourism",4016
Technical Sales Rep,Sales,4017
Head Of Partnerships,Entertainment,4018
Sales Engineer,Computing Or Tech,4019
Accountant/Auditor,Nonprofits,4020
"Virtual Assistant, Webmaster",Administrative,4021
Accounts Payable Specialist/Cost Accountant,Food Manufacturing,4022
Lead Designer,Nonprofits,4023
Payroll Clerk,Nonprofits,4024
Communications Coordinator,Utilities And Telecommunications,4025
Instructional Designer,Not-For-Profit Membership Organization,4026
Academic Records Coordinator,Education (Higher Education),4027
Data Product Consultant,Business Or Consulting,4028
Vice President,Biotech Industry,4029
Registered Engineer,Engineering Or Manufacturing,4030
Media Licensing Account Executive,Media And Digital,4031
Compliance Manager,Health Care,4032
Curator,Nonprofits,4033
Instructional Designer,"Instructional Design, Aviation Industry",4034
Research Associate,Health Care,4035
Childcare Site Coordinator,Education (Primary/Secondary),4036
Project Architect,Art And Design,4037
Instructional Prof,Education (Higher Education),4038
User Experience Researcher,Research,4039
Human Resources Manager,Health Care,4040
Hr Project Associate,Business Or Consulting,4041
Document Review Attorney,Law,4042
Manager Of New Technology Development,Biotechnology,4043
Care Manager,Behavioral Health,4044
Senior Research Coordinator,Public Health Research,4045
Enrollment Coordinator,Nonprofits,4046
Executive Director Of <Technology And Innovation Buzzwords>,Education (Higher Education),4047
Senior Electrical Engineer,Engineering Or Manufacturing,4048
Broadcast Producer,Media And Digital,4049
Personal Assistant,"Marketing, Advertising And Pr",4050
Primary Teacher,Education (Primary/Secondary),4051
Prosecutor,Law,4052
Lab Manager,Biomedical Research,4053
Senior Account Manager,Health Care,4054
